sap_no,part_no,part_description,planned_output,is_active
30023248,P002583,P002583 Balance Bar Bend,400,1
30023249,P002583,P002583 Balance Bar Paint,900,1
30023255,P002592,P002592 Drawer Handle Small Left Bend,400,1
30023256,P002592,P002592 Drawer Handle Small Left Press,300,1
30023257,P002593,P002593 Drawer Body Small Left Bend,100,1
30023258,P002593,P002593 Drawer Body Small Left Press,50,1
30023261,P002595,P002595 Drawer Handle Big Left Bend,400,1
30023262,P002595,P002595 Drawer Handle Big Left Press,300,1
30023263,P002596,P002596 Drawer Body Big Left Bend,100,1
30023264,P002596,P002596 Drawer Body Big Left Press,50,1
30023273,P002601,P002601 Drawer Handle Big Right Bend,400,1
30023274,P002601,P002601 Drawer Handle Big Right Press,300,1
30023305,P002617,P002617 Bottom Back Bend,80,1
30023306,P002618,P002618 Bottom Back Horizontal Reinf Bend,400,1
30023307,P002618,P002618 Bottom Back Horizontal Reinf Laser,102.8571429,1
30023308,P002619,P002619 Bottom Back Vertical Reinf Bend,400,1
30023309,P002620,P002620 Bottom Back Side Reinf Bend,400,1
30023310,P002623,P002623 Locking Slide Holder Press,300,1
30023311,P002624,P002624 Partition Stop Laser,720,1
30023312,P002627,P002627 Side Panel Right Bend,133.3333333,1
30023313,P002628,P002628 Top Panel Bend,200,1
30023314,P002628,P002628 Top Panel IPC,,1
30023315,P002629,P002629 Top Panel Reinf Bend,100,1
30023316,P002629,P002629 Top Panel Reinf Laser,276.9230769,1
30023317,P002631,P002631 Horizontal Groove Bend,200,1
30023318,P002632,P002632 Middle Divided Plate Left Press,66.66666667,1
30023319,P002633,P002633 Middle Divided Plate Right Bend,133.3333333,1
30023320,P002633,P002633 Middle Divided Plate Right Press,300,1
30023321,P002635,P002635 Inner Plate Left Bend,100,1
30023322,P002635,P002635 Inner Plate Left Press,300,1
30023323,P002637,P002637 Inner Plate Right Bend,100,1
30023324,P002637,P002637 Inner Plate Right Press,300,1
30023325,P002638,P002638 Supply Holder Bend,400,1
30023326,P002638,P002638 Supply Holder Paint,2400,1
30023327,P002639,P002639 Drawer Back Top Large Bend,400,1
30023328,P002640,P002640 Drawer Handle Top Large Bend,400,1
30023329,P002641,P002641 Drawer Body Top Large Bend,100,1
30023330,P002641,P002641 Drawer Body Top Large Press,50,1
30023331,P002642,P002642 Drawer Back Top Small Bend,400,1
30023332,P002643,P002643 Drawer Handle Top Small Bend,400,1
30023333,P002644,P002644 Drawer Body Top Small Bend,100,1
30023334,P002644,P002644 Drawer Body Top Small Press,50,1
30023335,P002645,P002645 Drawer Top Reinf Bend,100,1
30023336,P002646,P002646 Drawer Back Small Left Bend,400,1
30023337,P002649,P002649 Drawer Back Big Left Bend,400,1
30023338,P002652,P002652 Drawer Back Large Left Bend,400,1
30023339,P002653,P002653 Drawer Handle Large Left Bend,400,1
30023340,P002654,P002654 Drawer Body Large Left Bend,100,1
30023341,P002654,P002654 Drawer Body Large Left Press,50,1
30023342,P002655,P002655 Drawer Back Big Right Bend,400,1
30023343,P002657,P002657 Drawer Body Big Right Bend,100,1
30023344,P002657,P002657 Drawer Body Big Right Press,50,1
30023345,P002658,P002658 Drawer Back Large Right Bend,400,1
30023346,P002659,P002659 Drawer Handle Large Right Bend,400,1
30023347,P002660,P002660 Drawer Body Large Right Bend,100,1
30023348,P002660,P002660 Drawer Body Large Right Press,50,1
30023349,P002808,P002808 Wire Chain Limit Bend,100,1
30023350,P002808,P002808 Wire Chain Limit Paint,900,1
30023351,U000411,U000411 Body Paint,90,1
30023352,U000411,U000411 Body Spot,2.962962963,1
30023353,U000411,U000411 Body Weld,2.769230769,1
30023354,U000412,U000412 Drawer Top Large Paint,180,1
30023355,U000412,U000412 Drawer Top Large Spot,12.85714286,1
30023356,U000413,U000413 Drawer Top Small Paint,180,1
30023357,U000413,U000413 Drawer Top Small Spot,13.84615385,1
30023358,U000414,U000414 Drawer Small Left Paint,180,1
30023359,U000414,U000414 Drawer Small Left Spot,27.69230769,1
30023360,U000415,U000415 Drawer Big Left Paint,180,1
30023361,U000415,U000415 Drawer Big Left Spot,30,1
30023362,U000416,U000416 Drawer Large Left Paint,180,1
30023363,U000416,U000416 Drawer Large Left Spot,30,1
